time;model_id;model_name;port_name;data
4;18;(0,1);outputNeighborhood;<1, 4, 5, 0>
4;18;(0,1);;<0, 4, 4, 1>
4;19;(4,4);outputNeighborhood;<1, 4, 5, 0>
4;19;(4,4);;<0, 4, 4, 1>
4;20;(2,4);outputNeighborhood;<1, 4, 5, 0>
4;20;(2,4);;<0, 4, 4, 1>
4;21;(3,1);outputNeighborhood;<1, 4, 5, 0>
4;21;(3,1);;<0, 4, 4, 1>
4;22;(2,3);outputNeighborhood;<1, 4, 5, 0>
4;22;(2,3);;<0, 4, 4, 1>
4;23;(4,2);outputNeighborhood;<1, 4, 5, 0>
4;23;(4,2);;<0, 4, 4, 1>
4;24;(3,2);outputNeighborhood;<1, 4, 5, 0>
4;24;(3,2);;<0, 4, 4, 1>
4;25;(1,2);outputNeighborhood;<1, 4, 5, 0>
4;25;(1,2);;<0, 4, 4, 1>
5;1;(3,4);outputNeighborhood;<0, 4, 4, 1>
5;1;(3,4);;<0, 4, 4, 1>
5;2;(4,3);outputNeighborhood;<0, 4, 4, 1>
5;2;(4,3);;<0, 4, 4, 1>
5;3;(1,3);outputNeighborhood;<0, 4, 4, 1>
5;3;(1,3);;<0, 4, 4, 1>
5;4;(0,4);outputNeighborhood;<0, 4, 4, 1>
5;4;(0,4);;<0, 4, 4, 1>
5;5;(0,3);outputNeighborhood;<0, 4, 4, 1>
5;5;(0,3);;<0, 4, 4, 1>
5;6;(0,0);outputNeighborhood;<0, 4, 4, 1>
5;6;(0,0);;<0, 4, 4, 1>
5;7;(1,0);outputNeighborhood;<0, 4, 4, 1>
5;7;(1,0);;<0, 4, 4, 1>
5;8;(2,2);outputNeighborhood;<0, 4, 4, 1>
5;8;(2,2);;<0, 4, 4, 1>
5;9;(2,0);outputNeighborhood;<0, 4, 4, 1>
5;9;(2,0);;<0, 4, 4, 1>
5;10;(3,0);outputNeighborhood;<0, 4, 4, 1>
5;10;(3,0);;<0, 4, 4, 1>
5;11;(1,1);outputNeighborhood;<0, 4, 4, 1>
5;11;(1,1);;<0, 4, 4, 1>
5;12;(2,1);outputNeighborhood;<0, 4, 4, 1>
5;12;(2,1);;<0, 4, 4, 1>
5;13;(1,4);outputNeighborhood;<0, 4, 4, 1>
5;13;(1,4);;<0, 4, 4, 1>
5;14;(4,0);outputNeighborhood;<0, 4, 4, 1>
5;14;(4,0);;<0, 4, 4, 1>
